Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,TRUE,REQUIRED,Does your app collect or share any of the required user data types?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,TRUE,MAYBE_REQUIRED,Is all of the user data collected by your app encrypted in transit?
PSL_DATA_COLLECTION_USER_REQUEST_DELETE,,TRUE,MAYBE_REQUIRED,Do you provide a way for users to request that their data is deleted?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_USERNAME_AND_PASSWORD,,MULTIPLE_CHOICE,"Which account creation methods are available in your app? Select all that apply.
Username and password"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_USERNAME_AND_ADDITIONAL_AUTHENTICATION,,MULTIPLE_CHOICE,"Which account creation methods are available in your app? Select all that apply.
Username and additional authentication"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_USERNAME_PASSWORD_AND_ADDITIONAL_AUTHENTICATION,,MULTIPLE_CHOICE,"Which account creation methods are available in your app? Select all that apply.
Username, password, and additional authentication"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_OAUTH,,MULTIPLE_CHOICE,"Which account creation methods are available in your app? Select all that apply.
OAuth"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_OTHER,,MULTIPLE_CHOICE,"Which account creation methods are available in your app? Select all that apply.
Other"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACCOUNT_CREATION_NOT_SUPPORTED,TRUE,MULTIPLE_CHOICE,"Which account creation methods are available in your app? Select all that apply.
Account creation is not supported in this app"
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,TRUE,MULTIPLE_CHOICE,"Device or other identifiers
Device or other identifiers"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,TRUE,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Is this data collected, shared, or both?
Collected"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,TRUE,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Is this data collected, shared, or both?
Shared"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:PSL_DATA_USAGE_EPHEMERAL,,FALSE,MAYBE_REQUIRED,"Data usage and handling (Device or other identifiers)
Is this data processed ephemerally?"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,TRUE,SINGLE_CHOICE,"Data usage and handling (Device or other identifiers)
Is this data required for your app, or can users choose whether it's collected?
Users can choose whether this data is collected"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Data usage and handling (Device or other identifiers)
Is this data required for your app, or can users choose whether it's collected?
Data collection is required (users can't turn off this data collection)"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data collected? Select all that apply.
App functionality"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data collected? Select all that apply.
Analytics"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data collected? Select all that apply.
Developer communications"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data collected? Select all that apply.
Fraud prevention, security, and compliance"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,TRUE,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data collected? Select all that apply.
Advertising or marketing"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data collected? Select all that apply.
Personalization"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data collected? Select all that apply.
Account management"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data shared? Select all that apply.
App functionality"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data shared? Select all that apply.
Analytics"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data shared? Select all that apply.
Developer communications"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data shared? Select all that apply.
Fraud prevention, security, and compliance"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,TRUE,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data shared? Select all that apply.
Advertising or marketing"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data shared? Select all that apply.
Personalization"
PSL_DATA_USAGE_RESPONSES:PSL_DEVICE_ID:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,"Data usage and handling (Device or other identifiers)
Why is this user data shared? Select all that apply.
Account management"
